ID,Rider,Team,Kls,Me,Scr,Bon,Sum,St,Avg,I,II,III,IV,D,T,M,W,U,Year
25,Rafa?Okoniewski,RZE,Tak,18,162,13,175,93,1.882,26,30,24,9,3,1,0,0,0,2012
37,Rafa?Okoniewski,RZE,Tak,18,121,15,136,85,1.6,18,20,27,16,0,0,4,0,0,2013
35,Rafa?Okoniewski,GRU,Tak,14,84,7,91,63,1.444,12,16,16,17,1,0,0,0,1,2015
29,Rafa?Okoniewski,GRU,Tak,14,106,9,115,67,1.716,16,22,14,15,0,0,0,0,0,2016
42,Rafa?Okoniewski,GRU,Tak,12,52,9,61,42,1.452,7,8,15,10,0,1,0,1,0,2017
35,Rafa?Szombierski,CZE,Tak,13,86,10,96,64,1.5,14,15,14,18,3,0,0,0,0,2010
38,Rafa?Szombierski,CZE,Tak,16,87,11,98,70,1.4,11,18,18,13,7,0,0,3,0,2011
57,Rafa?Szombierski,CZE,Nie,7,32,5,37,30,1.233,4,6,8,6,4,0,1,1,0,2012
60,Rafa?Szombierski,CZE,Tak,21,85,15,100,80,1.25,14,11,21,24,4,0,0,6,0,2013
67,Rafa?Szombierski,CZE,Nie,3,7,1,8,11,0.727,1,1,2,4,3,0,0,0,0,2014
30,Rafa?Szombierski,RYB,Nie,2,12,0,12,7,1.714,4,0,0,2,0,0,0,0,1,2016
54,Rafa?Szombierski,RYB,Nie,8,22,5,27,26,1.038,1,6,7,8,3,0,0,1,0,2017
26,RafalDobrucki,RZE,Tak,20,161,13,174,103,1.689,24,31,27,18,2,0,0,1,0,2007
24,RasmusJensen,ZIE,Tak,16,126,15,141,80,1.763,20,25,16,18,0,0,0,1,0,2024
89,RemigiuszPerzy?ski,ZIE,Nie,2,2,0,2,5,0.4,0,1,0,3,1,0,0,0,0,2012
47,RenatGafurov,GDA,Tak,9,40,8,48,39,1.231,3,9,13,12,2,0,0,0,0,2009
47,RenatGafurov,GDA,Tak,7,49,4,53,38,1.395,6,10,11,6,3,0,0,1,1,2012
62,RenatGafurov,GDA,Tak,12,43,4,47,53,0.887,3,7,20,13,6,2,0,1,1,2014
63,RickyKling,ZIE,Nie,6,16,3,19,21,0.905,3,2,3,13,0,0,0,0,0,2007
61,RickyKling,ZIE,Nie,12,28,5,33,35,0.943,3,5,9,15,2,1,0,0,0,2008
62,RobertChmiel,RYB,Tak,14,24,5,29,38,0.763,1,6,9,20,1,0,0,1,0,2016
